"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2024,53001,20607,20742,"Washington","WA",0.006551171931867827,"Adams County","Adams County","adams-county-wa",1925,10.775064935064934,0.002645230378753069,31,10.775064935064934,1925
2024,53003,22324,22562,"Washington","WA",0.010661171833004746,"Asotin County","Asotin County","asotin-county-wa",636,35.4748427672956,0.0028773352524070358,30,35.4748427672956,636
2024,53005,207419,217609,"Washington","WA",0.04912761126029919,"Benton County","Benton County","benton-county-wa",1700,128.00529411764705,0.027751708489541827,10,128.00529411764705,1700
2024,53007,79238,79956,"Washington","WA",0.009061308967919457,"Chelan County","Chelan County","chelan-county-wa",2921,27.37281752824375,0.010196800702129995,17,27.37281752824375,2921
2024,53009,77367,77548,"Washington","WA",0.0023394987526981215,"Clallam County","Clallam County","clallam-county-wa",1739,44.59344450833812,0.009889708100064747,18,44.59344450833812,1739
2024,53011,505338,525563,"Washington","WA",0.04002271746830832,"Clark County","Clark County","clark-county-wa",628,836.8837579617834,0.06702512841329665,5,836.8837579617834,628
2024,53013,3949,4080,"Washington","WA",0.03317295517852625,"Columbia County","Columbia County","columbia-county-wa",869,4.695051783659379,0.0005203230134660361,38,4.695051783659379,869
2024,53015,111014,113664,"Washington","WA",0.02387086313437936,"Cowlitz County","Cowlitz County","cowlitz-county-wa",1141,99.61787905346188,0.01449558701044204,12,99.61787905346188,1141
2024,53017,43029,45373,"Washington","WA",0.054474889028329754,"Douglas County","Douglas County","douglas-county-wa",1819,24.94392523364486,0.005786425512253543,25,24.94392523364486,1819
2024,53019,7198,7526,"Washington","WA",0.04556821339260897,"Ferry County","Ferry County","ferry-county-wa",2203,3.41625056740808,0.0009597919116042617,36,3.41625056740808,2203
2024,53021,97150,99486,"Washington","WA",0.024045290787441997,"Franklin County","Franklin County","franklin-county-wa",1242,80.10144927536231,0.012687464538647567,14,80.10144927536231,1242
2024,53023,2294,2369,"Washington","WA",0.032693984306887636,"Garfield County","Garfield County","garfield-county-wa",711,3.3319268635724333,0.00030211892620123516,39,3.3319268635724333,711
2024,53025,99441,103776,"Washington","WA",0.0435936887199444,"Grant County","Grant County","grant-county-wa",2680,38.722388059701494,0.01323456888368906,13,38.722388059701494,2680
2024,53027,75855,77539,"Washington","WA",0.02220025047788554,"Grays Harbor County","Grays Harbor County","grays-harbor-county-wa",1901,40.788532351394004,0.009888560328711514,19,40.788532351394004,1901
2024,53029,86998,85852,"Washington","WA",-0.013172716614175073,"Island County","Island County","island-county-wa",208,412.75,0.010948718468648562,16,412.75,208
2024,53031,33061,33858,"Washington","WA",0.024106953812649268,"Jefferson County","Jefferson County","jefferson-county-wa",1804,18.76829268292683,0.004317915830865944,27,18.76829268292683,1804
2024,53033,2274282,2277449,"Washington","WA",0.0013925273998562915,"King County","King County","king-county-wa",2116,1076.2991493383743,0.29044341340568886,1,1076.2991493383743,2116
2024,53035,275823,277503,"Washington","WA",0.006090862618418402,"Kitsap County","Kitsap County","kitsap-county-wa",395,702.5392405063291,0.035389999315163095,7,702.5392405063291,395
2024,53037,44599,45894,"Washington","WA",0.029036525482634135,"Kittitas County","Kittitas County","kittitas-county-wa",2297,19.979973878972572,0.00585286872059075,24,19.979973878972572,2297
2024,53039,22814,23875,"Washington","WA",0.04650653107740865,"Klickitat County","Klickitat County","klickitat-county-wa",1872,12.753739316239317,0.0030447823398288263,29,12.753739316239317,1872
2024,53041,82553,86951,"Washington","WA",0.053274865843760955,"Lewis County","Lewis County","lewis-county-wa",2403,36.18435289221806,0.011088874103893457,15,36.18435289221806,2403
2024,53043,10928,11863,"Washington","WA",0.08556002928257689,"Lincoln County","Lincoln County","lincoln-county-wa",2311,5.133275638251839,0.0015128901737126437,35,5.133275638251839,2311
2024,53045,66034,68607,"Washington","WA",0.038964775721598066,"Mason County","Mason County","mason-county-wa",960,71.465625,0.008749461025702045,20,71.465625,960
2024,53047,42139,43964,"Washington","WA",0.04330904862478935,"Okanogan County","Okanogan County","okanogan-county-wa",5266,8.348651728066844,0.005606735530397258,26,8.348651728066844,5266
2024,53049,23495,24305,"Washington","WA",0.03447542030219197,"Pacific County","Pacific County","pacific-county-wa",933,26.05037513397642,0.0030996203044833352,28,26.05037513397642,933
2024,53051,13502,14584,"Washington","WA",0.08013627610724328,"Pend Oreille County","Pend Oreille County","pend-oreille-county-wa",1400,10.417142857142856,0.0018598997128403605,33,10.417142857142856,1400
2024,53053,923589,930913,"Washington","WA",0.007929934202334676,"Pierce County","Pierce County","pierce-county-wa",1668,558.1013189448441,0.11871947486144806,2,558.1013189448441,1668
2024,53055,17826,18460,"Washington","WA",0.03556602715135204,"San Juan County","San Juan County","san-juan-county-wa",174,106.0919540229885,0.0023542065756330948,32,106.0919540229885,174
2024,53057,129902,131512,"Washington","WA",0.012393958522578519,"Skagit County","Skagit County","skagit-county-wa",1730,76.01849710982658,0.01677174513405523,11,76.01849710982658,1730
2024,53059,12041,12825,"Washington","WA",0.0651108711901005,"Skamania County","Skamania County","skamania-county-wa",1658,7.735223160434258,0.001635574178358312,34,7.735223160434258,1658
2024,53061,829933,849070,"Washington","WA",0.023058487853838905,"Snohomish County","Snohomish County","snohomish-county-wa",2087,406.83756588404407,0.10828202476559001,3,406.83756588404407,2087
2024,53063,541175,553170,"Washington","WA",0.022164734143299336,"Spokane County","Spokane County","spokane-county-wa",1764,313.58843537414964,0.07054585327426646,4,313.58843537414964,1764
